Room Number,Room Type,Name,Door Count,Locked,Description,Danger,Contents,Special Effect,Miniature
11,Edge,Balkong,1,false,"En kort bred trappa av vit sten leder upp till en balkong. På sidorna om trappan och nästan hela vägen till kanten av balkongen sträcker sig husets ytterväggar. Längst ut blir balkongen lite bredare och ett vitt räcke går längs dess kant. På balkongen står två solstolar med ett litet bord mellan dem. På bordet står en liten stenminiatyr av en bro. Nedanför balkongen är det först en trädgråd med utspridda träd och några statyer i vit sten, sedan ett kort, tunt skogsparti och till sist sträcker sjön Raynerous ut sig. När de närmar sig kanten av balkongen: Konversation Sari'thiel och Maelir",-,Konversationen,"Går inte att flyga, osynliga väggar vid balkongens kanter",Bro
12,-,Bastu,1,false,"Det är obehagligt varmt inne i rummet. Allting här inne är i trä, vägg, golv, tak. Allt förutom en kamin på vänster vägg. Kaminen är gjord i metall och i den brinner en brasa. Ovanpå kaminen ligger det stenar. På väggen mittemot dörren och till höger är det som två väldigt höga, nästan en meter var, trappsteg som täcker hela väggarna. De slutar endast i vägg. På nedersta trappsteget mittemot dörren ligger en nyckel, synligen i metall.",Nyckel (con-save dc 13 eller 2d4 fire skada och tappa den),Nyckel (con-save dc 13 eller 2d4 fire skada och tappa den),Ingen,Ingen
13,-,Tjänarens rum,1,false,"Rummet är litet och har ett sluttande tak på vänster sida, där det även står en enkel säng och en liten byrå. På högra sidan av rummet står ett litet skrivbord med en stol. Skivbordet är tomt, förutom för en liten fyr vars lampa lyser. På väggen brdevid skrivbordet hänger en tavla med nyckelhållare. En ensam nyckel hänger där.",-,Nyckel,Ingen,Fyr
14,-,Hemlig gång,2,false,"Rummet är litet, bara 5 feet djupt och 10 feet brett. Väggen som är mittemot dörren täcks av en bokhylla, och till höger om dörren står en fotölj med ett litet bord bredvid. På bordet står det en ljusstake och en miniatyrmodell av ett skepp. I bokhyllan står det en hel del böcker, men även några till ljus samt några fler modeller. En amfiteater, en hästvagn, och en brunn. De flesta av böckerna i hyllan är bundna i brunt läder, några saknar pärm och fyra stycken är färgade, alla i varsin färg. Efter flyttad bok: En smal korridor leder fram till en [insert färg] dörr.",-,-,Ingen,Amfiteater
15,-,Tomt rum,2,false,"Rummet är lite längre än det är brett. Golvet är gjort i mörkt trä. Väggarna är släta och vita, förutom den högra väggen som har börjat målas i en ljusgrå ton, målandet verkar dock ha avslutats innan ens en tredjedel av väggen var klar. Mittemot därren ni kom in genom är det en till dörr. Rummet är tomt, förutom för en ensam nyckel som ligger på golvet mitt i rummet.",-,Nyckel,Får ingen effekt av vila i rummet,Ingen
16,-,Musikrum,2,true,"Rummet är kvadratiskt, med en dörr till på höger/vänster sida. I hörnet rakt fram till vänster/höger står det en flygel med en pall framför. Mitt på väggen framför er är ett fönster, genom det ser ni en liten gräsmatta och efter den en skog som brer ut sig. Tre stolar står riktade mot varandra i mitten av rummet, varje stol har ett notställ framför sig, med notblad på sig. Fler stolar står uppställda till vänster om dörren ni kom in genom. Längs med väggarna hänger det olika instrument: Fioler, lutor, harpor, och flöjter. Vid sidan av den andra dörren finns det fler notställ, dessa utan notblad.","Om något instrument vidrörs så spelas en magisk melodi, alla som hör den måste klara ett wisdom saving throw eller börja dansa. Saving throw i slutet av ens runda. För varje 2 rundor som man dansar så får man en level exhaustion.",-,The Trap,Ingen
17,-,Balrum,2,false,-,-,-,-,-
18,-,Kontor,2,true,Skrivbord med flera dokument.,-,"Nyckel, kartor till underjordiska städerna",-,-
19,-,Sovsal,2,false,"Rummet är långsmalt, med dörrarna på vardera kortsida. Golvet är lagt i mörkt trä, medan väggarna är målade i en blek, grå ton. På långsidorna står det sex våningssängar, tre på varje sida. Vid båda sidorna av varje säng står en garderob i ljust trä, alla lika stora och enkelt snidade. I hörnet av rummet står ett runt bord med fyra stolar, två på varje sida. Bordet är tomt förutom för ett set av tärningar och två små stenmodeller, en av en amfiteater står vid ena bordskanten, och bredvid den ligger en miniatyr av en hästvagn med brutna hjul.",Shadows,-,-,Amfiteater
20,-,Korridor,2,false,"Rummet är en korridor, med endast två dörrar. Den ni kom genom och en på andra sidan. Väggarna är klädda i orange-målat trä och den enda möbeln som finns är en smal byrå som det står miniatyrer uppradade på. Ett skepp med segel och flagga som sakta fladdrar, en brunn, ett tält, en väderkvarn, ett träd med glaslöv och en mur.",-,-,-,Väderkvarn
21,Edge,Växthus,2,false,-,Shambling mound,-,-,-
22,-,Kök,2,false,-,-,"Mat, två nycklar",-,-
23,-,Pestlabratorie,2,true,-,-,-,-,-
24,NonCornerEdge,Altan,2,true,"En bred veranda med trägolv är framför er. Två dörrar leder ut hit från var sitt håll, medan en vägg av vitputsad sten täcker den vänstra sidan. På höger sida löper ett lågt räcke av ljust trä, uppstöttat av två kraftiga stöd nära mitten, och bakom det öppnar en trädgård upp sig. Trädgården har ett fåtal utspridda träd, samt på höger och vänster sida ser ni en rad av statyer i vit sten. Två stolar står vända mot utsikten tillsammans med varsitt bord, och i hörnen av verandan står det krukor med gröna växter. På borden ligger det miniatyrer, på det ena bordet: Två personer och en bro, på det andra bordet: Tre personer och ett träd med löv i glas. På den vänstra väggen hänger en tavla.",Matcha miniatyrer,Gem of seeing,"Går inte att flyga, osynliga väggar vid verandans kanter",Bro
25,-,Smedja,2,false,"En våg av värme träffar er när ni går in i rummet. En dörr till leder ut på höger/vänster vägg. En stor ässja i mörk sten står i det inre hörnet, fortfarande glödande. I närheten av ässjan står två tunga städ av svart metall, repiga och märkta av åratal av arbete. Ovanpå den ena ligger en slägga märkt med runor, och under dess huvud sticker en papperslapp fram. På det andra städet står en miniatyrkopia av ässjan, komplett med glöden från dess inre. En tunna utan lock står i närheten av städen. Längs väggarna hänger verktyg: tänger, hammare och filar. Och nedanför står det några bord, på dessa ligger trasor, slipstenar, metallbitar och två till miniatyrer: En liten valvgång med fällgaller, och en katapult, nedvevad och laddad med en liten sten. Vid ett av dessa bord står två rustningar, dess inre fyllda av röd magi. Svärd och sköld hållna i dess händer.",Helmed Horrors,"Smithing tools, Builder's hammer",Ingen,Smältugn
26,-,Miniatyrrum,2,false,"Rummet är rymligt och lite avlångt, med både väggar och golv i ljust trä. Det finns två dörrar i rummet, den ni kom igenom och en på rummets motsatta sida. Väggarna i rummet är fyllda av hyllor och i mitten av rummet står ett stort träbord. Hyllorna är tätt packade med modeller i alla former: byggnader, kvarnar, torg, pelare, skepp, träd, vagnar och personer. På bordet ligger flera olika set av verktyg (woodcarver, potters, jewelers), sex miniatyrer: En smältugn, ett palats, en bro, en amfiteater, en fyr och en väderkvarn, samt en stenskiva med ett rutor i ett 5x7 mönster.",Schacket från Blue Prince,Nyckeln till valvet,-,-
27,-,Salong,2,false,-,-,-,-,-
28,-,Alkemilabratorie,2,false,"Rummet är kvadratiskt och det finns två dörrar, den bakom er och en till vänster/höger. Väggarna är täckta av hyllor med glasburkar och flaskor i olika storlekar, fyllda av vätskor, växter och märkliga pulver. I rummets mitt står ett arbetsbord belamrat med deglar, mortlar, glasrör och metallställningar. I ett hörn av rummet står ett stort, grått skåp. Efter öppnat det: Skåpet är till största del tomt, men det finns två flaskställ, samt några miniatyrer: ett marknadsstånd, en amfiteater, och ett hus i ljus sten. I flaskställen står det 5 stycken fyllda flaskor.",-,Potions,"+2 till checks med herbalism kit, Alchemist's supplies eller Poisoner's kit.",Amfiteater
29,-,Magilabratorie,2,false,-,"Living Lightning Bolt, Spell scrolls",Spell scrolls,Ingen,-
30,-,Magi-negerande,2,false,-,-,-,-,-
31,-,Vardagsrum,3,false,"Rummet är kvadratiskt och har tre dörrar, den ni kom igenom och en på varje sida. På väggen mittemot er brinner en eld i en stor öppen spis, med en mantel prydd av ett modellskepp och en vas fylld med rosa blommor. En grön matta pryder trägolvet och i mitten av rummet står 3 soffor runt ett lågt bord. På bordet ligger en nyckel i metall och på väggarna hänger några tavlor. I en soffa kan de hitta en modell av en smältugn.",-,Nyckel,-,Smältugn
32,-,Ateljé,3,true,"Rummet är kvadratiskt och har tre dörrar, den ni kom igenom och en på varje sida. Golvet var en gång i tiden i ljust trä men är nu täckt av stänk från färg och pigment.. Väggarna i vit sten är fyllda med målningar i olika storlekar, några upphängda, andra lutade mot väggarna. Brevid dörren till vänster om er står ett bord mot väggen, bredvid det en stol. På bordet ligger det penslar av olika slag och storlekar, och ett gäng trä miniatyrer: En vagn nogrannt målad, med vad som ser ut som fläckar av jord synliga på hjulen, En fyr målad i vitt och rött, ett marknadsstånd i granna färger, och en häst som endast målats halvvägs. Mot väggen mittemot er står tre tomma statybaser i vit sten, släta och välbearbetade men utan några statyer på sig. Bredvid dem står två målningar i varsit stafli. Båda visar ett gäng personer i en livlig diskussion. De verkar identiska, förutom att den ena inte verkar vara färdigställd.",Två identiska tavlor där den ena inte är färdig,"Tavlor, Sovereign Glue",Ingen,Fyr
33,-,Hall 1,3,false,En korridor med stengolv och orangea väggar. På väggarna sitter några målningar och mot dem är det två bänkar. Ett bord med ett ljus står bredvid en av bänkarna.,-,Nyckel,Ingen,Ingen
34,-,Hall 2,3,false,En korridor med stengolv och orangea väggar. På väggarna sitter några målningar och mot dem är det två bänkar. Ett bord med ett ljus står bredvid en av bänkarna.,Adult Oblex,-,Ingen,Ingen
35,Edge,Trädgård,3,false,"Tre dörrar leder till detta utrymme, den ni kom genom, en rakt fram och en från vänster/höger. Ovanför varje dörr, från taknocken sticker det ut en staty föreställande en bevingad varelse med djävulslika drag. Grusgångar löper mellan rabatter fyllda av blommor i olika färger, från röda rosor till blekblå liljor, och små träd med står jämnt utspridda. I bortersta änden av trädgården går grusgångarn ihop till en större yta framför en liten fontän. Längs kanterna av grusytan står stenbänkar, och i mitten står tre pedestaler med varsin kista på. En svart, en blå, och en vit.","Blue Prince salong pussel, Gargoyles",två peridots (grön ädelsten),-,-
36,-,Kapell,3,false,"Rummet är kvadratiskt och har tre dörrar, den ni kom igenom, en till vänster och en rakt fram. Väggarna är i ljus sten och  på den högra väggen sitter ett stort fönster av frostat glas som släpper in solljus. Under fönstret står ett halvmåne format altare med två tända, höga ljusstakar bredvid sig, och två miniatyrer föreställande alver på sig. Längs de andra väggarna står det stenbänkar med likadana, höga ljusstakar brevid sig. Även dessa är tända. Ovanför bänkarna hänger det tavlor.",-,-,Short rest tar endast 10 min,Ingen
37,-,Matsal,3,false,"Rummet rektangulärt och har tre dörrar, en rakt fram, en till höger och en bakom er. Den fjärde väggen saknar dörr och pryds istället av stora fönster som vätter ut mot en sjö. I mitten av rummet står ett stort bord i mörkt trä, som är fint dukat. Tallrikar i finporslin, bestick av silver och kristallglas är prydligt utplacerade. I mitten av bordet löper en löpare i grönt tyg broderad med bladmönster och på dess mitt står en modell av ett palats i marmor och guld. På väggarna hänger tavlor och det står två stora vitrinskåp. Det ena fyllt med porslin: tallrikar, skålar och fat. Det andra är fyllt med glas: dricksglas, skålar och karaffer. I det med porslin står även en stor modell av ett fartyg, dess segel verkar blåsa av en icke-existerande vind.",Animated cutlery,-,Äter man mat här inne helas man 10 hp,Palats
38,-,Trofésal,3,true,"Mot ena väggen står en eldstad, över den hänger 2 tavlor. En med 3 personer (Hermaer, Maelir och Ithrielle). En med 6 personer (Maelir som yngre, hans pojkvän, hans föräldrar, hans syster med fästman). Skåp med glasdörrar står längs de andra väggarna och i mitten av rummet står ett bord med en ensam stol. På bordet står en dekanter med vin och ett vinglas. I skåpen: En breastplate och en vacker glasflaska med drakmotiv """"Gåvor från Aelion"""". En två-eggad yxa """"Selanars stridsyxa"""". En trasig clockwork varelse """"Raen, min första construct"""". En torkad blomma """"Lilahs tack"""". Ett blueprint av en bro """"min första bro"""". En miniatyr av ett palats """"Eryn'dins palats, mitt """"storverk"""" """". Ett svärd gjort i sten """"En gåva från Hermaer"""". En medalj med en lövkrans på sig """"For bravery and honor during the war"""". En sköld """"Parealins """"gåva"""" till Hermaer"""". Flera olika blueprints och miniatyrer med inskriptioner likt """"Min första..."""".",-,"Wakend Dragon Vessel, Berserker Axe, Shield of missile attraction",Ingen,-
39,-,Observatorium,3,false,"Rummet är cirkulärt med tre dörrar, den ni kom genom, en mittemot och en på er vänstra sida, mittmellan de andra två dörrarna. Rummet är målat i en ljusblåfärg med guld detajer. Taket är en kupol och verkar vara uppdelat i flera partier som går att flytta på. På eran högra sida står ett bord och på väggen sitter en hylla. På bordet finns bläck och en penna, och massa pergament i högar. I hyllan ligger det pergamentrullar, och redskap i brons och järn. I mitten av rummet står det ett stort teleskop. I hyllan, inte synligt på en gång, ligger en miniatyr av en väderkvarn.",-,-,-,Väderkvarn
40,-,Mekanisk verkstad 1,3,false,-,Warforged titan,Tinkers tools,-,-
41,-,Mekanisk verkstad 2,3,false,Mighty Servant of Leuk-o hänger i ställningar,-,Tinkers tools,-,-
42,Center,Innergård,4,false,"En kvadratisk innergård öppnar upp sig och ni ser himmeln ovanför er, det är en blå himmel med några få moln. Väggarna är gjorda i vit sten och kala, förutom för dörrarna, en på varje vägg. Ovanför varje dörr, från taknocken sticker det ut en staty föreställande en bevingad varelse med djävulslika drag. En stenlagd gång går längs kanten av rummet runt till alla dörrar. I mitten av rummet är det en gräsmatta, och i mitten av den står en pedestal, gjord i samma sten som väggarna, med en liten träkista på. Den stenlagda gången går ut till pedestalen från dörren på eran högra sida.","Fallgrop, Gargoyles",Tre citrine (Gul-brun ädelsten),"Himmeln rör sig, men det är förevigt dag",Ingen
43,Center,Bibliotek,4,true,"Fyra dörrar leder in och ut, en på varje vägg. Rummet är stort och doftar av gammalt papper. Höga bokhyllor i mörkt trä sträcker sig från golv till tak, fyllda med välanvända volymer och prydliga pergamentrullar. En smal gång mellan hyllorna leder till ett centralt område där två stora läsbord står. Flera höga stegar står lutade mot hyllorna, redo att rullas längs skenor för att nå de högsta hyllplanen. I ena hörnet av rummet är en eldstad där två fotöljer står på varsin sida om ett litet bord. En lampa i form av ett fyrtorn står på bordet och kastar ett svagt men behagligt ljus över fotöljerna.",-,-,-,Fyr
44,Center,Galleri,4,true,"Ett kvadratiskt rum med marmor golv och vita väggar, fyra dörrar leder ut ut rummet, en på varje vägg. Mitt i rummet står en staty av en alv med en krona av höga, spettsiga, överlappande skivor. Hans händer är slutna framför honom som att han håller något. På väggarna hänger fyra tavlor, och bredvid varje tavla sitter ... . På båda sidorna om varje dörr står det en pedestal, och på pedestalerna står det eleganta och utsmyckade miniatyrer. Ett träd med smaragder som löv, ett detaljrikt skepp med gyllene detaljer och segel, en fontän i blå sten (azurite och quartz), en amfiteater i obsidian, en häst med man av silver och skor av guld, en mur karvad i guld, en vagn av metall med gyllene hjul, och ett litet solur täckt av små diamanter.",Likadant som Blue Prince,En diamant värd 1000gp,Ingen,Amfiteater
45,Center,Damm,4,false,"En innergård öppnar upp sig och ni ser himmeln ovanför er, den är molnfri, svart och har en massa stjärnor. Det finns fyra dörrar, en på varje vägg. Marken består till stor del utav gräs, förutom en grusad stig runt rummet, samt mitten av rummet som består av en damm med en kant av sten. En hög med stenar är på ena sidan dammen och från den ser ni vatten som porlar ner i dammen. Vattennivån verkar dock vara konstant i dammen. Över dammen går en liten, liten bro och i vattnet flyter ett miniatyrskepp. Från nere i vattnet kommer ett svagt ljussken. Två små, runda bord står på varsin sida av rummet och ett gäng tunnor står i vänstra hörnet. Det finns massa stearinljus i rummet. På den översta stenen, på båda borden, på en av tunnorna, på marken i ett av hörnen, på den lilla bron och vid en av kanterna av dammen. Ljus i vattnet: 5 buntar (17 totalt) av ljus, 3 riktade mot ett av borden, 5 mot stenen, 2 i mitten (mot bron), 4 mot kanten av dammen, 3 mot hörnet. FIender: Om fel antal ljus tänds attackerar Galeb Duhr.",Ljus under vattnet/Galeb Duhr,"Ring of waterwalking, driftglobe","Himmeln rör sig, men det är förevigt natt",Bro
46,Center,Spegelsal,4,false,"Golvet är i blank sten, så blank så att man kan skymta sin spegelbild i det, taket lika så. Alla väggar, golv till tak, endast undantaget de fyra dörrarna, är täckta av speglar. Er pegelbild skiftar lite när ni kollar på den.",-,-,Weird speglar,Ingen
